"screenName","description","statusesCount","followersCount","favoritesCount","friendsCount","ff_ratio","norm_ff_ratio","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","retweetCount","isRetweet","retweeted","longitude","latitude","pull_date","following_client"
"FabFood4All","In Top 10 Family Food Blogs 2015, Tots 100. Also Finalist in MAD Blog Awards 2015 Best Food Blog!",99313,10120,2836,1961,5.16063233044365,2.82027744520563,"One Pot Minced Beef Hotpot #LivePeasant https://t.co/mut0YOrub2 #foodie",FALSE,0,NA,2016-06-12 07:05:31,FALSE,NA,"741889147435159553",NA,"www.ajaymatharu.com/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
"BlogMyLunch","Official Twitter of BlogMyLunch. #fitfluential Ambassador. Get @PiknikApp on iOS or Android to review restaurants and earn customer loyalty points.",54190,20926,16033,16585,1.26174253843835,0.07261319942317,"Great morning to our #foodie #foodies followers! Wishing you and your loved ones a blessed day! https://t.co/ayr7N70lf7",FALSE,0,NA,2016-06-12 07:05:25,FALSE,NA,"741889122965544960",NA,"postplanner.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
"HotspOTs_Israel","HotspOTs Israel, a travel guide with a difference!  restaurants, galleries, designer! Israel Hot, Hip & Trendy.  By Esther Voet & Joanne Nihom",738,144,270,689,0.20899854862119,-3.43456171670492,"RT @israelfoodguide: @CultureTripTLV @SweetTelAviv  A festival dedicated to #cheesecake....it doesn't get much better...#Shavuot #foodie ht‚Ä¶",FALSE,0,NA,2016-06-12 07:04:35,FALSE,NA,"741888912482836480",NA,"twitter.com",8,TRUE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
"viveknshah","Jack of all trades, master of none. Parental Advisory, Crowdsourced Personality. Urban Nomad. Professional Wedding Tourist.",6423,802,79,453,1.77041942604857,0.733353836271869,"Becoming a fan of @EatfreshIN . Good looking / good tasting food. The packaging is right so is the quick delivery. #foodie #Bengaluru",FALSE,1,NA,2016-06-12 07:03:41,FALSE,NA,"741888687529562112",NA,"twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
"lioness0817","Shine bright! Lover of love and pretty things.",11642,845,4914,1031,0.819592628516004,-0.768992481247571,"I love cooking for the ones I love. #HealthyLiving #HomeCooking #MadeWithLove #FreshFood #Foodie #SoulFood #Love https://t.co/NRyS9NiX9T",FALSE,2,NA,2016-06-12 07:02:58,FALSE,NA,"741888506159501312",NA,"iphone",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
"bjkbrady","I haven't been everywhere - but it's definitely on my list! #TravelBlogger #FamilyTravel #FoodAllergyChronicles #FoodieFriday #SundayShopper #Disney",129554,17451,2659,10241,1.70403280929597,0.658801081296057,"RT @EdibleTreats2: So easy! Only four ingredients. Chicken, rice, ... - https://t.co/i8OWJufBRZ #food #foodporn #foodie #recipes https://t.‚Ä¶",FALSE,0,NA,2016-06-12 07:02:08,FALSE,NA,"741888295924305920",NA,"roundteam.co",1,TRUE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
"carolinerogers8","Social media marketing executive at Trafalgar Travel. Love trying and cooking new food and drinks, travelling and skiing.",882,554,3,933,0.593783494105038,-1.3976832197339,"Check out these places to eat in #SanFrancisco that the locals love https://t.co/BknlqDynpH #foodie https://t.co/hRCvOAIdVP",FALSE,1,NA,2016-06-12 07:02:02,FALSE,NA,"741888272620761088",NA,"postbeyond.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
"PalmSpringsRW","Offering exclusive dining, hotel, and attractions deals throughout the Palm Springs Valley, 6/3 - 6/12 2016. ‚ÄúEat. Play. Stay‚Äù The Ultimate Desert Experience!",3297,2624,590,623,4.21187800963082,2.42399529070479,"Looking good! #foodie https://t.co/162N10xFeG",FALSE,0,NA,2016-06-12 07:01:58,FALSE,NA,"741888256086704128",NA,"iphone",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
"AnnpurnaSD","A traditional Thaali cuisine serving restaurant.",6,7,2,82,0.0853658536585366,-5.18116626639399,"How's Sunday treating you ? We have some crazy sweet dishes on menu today. #foodie #food #india #mumbai #yummy",FALSE,1,NA,2016-06-12 07:01:51,FALSE,NA,"741888226604900352",NA,"android",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
"mmmeimei22","‚Ä† F r o z e n e¬∞ Âπ¥Èáç„Å≠„Å¶Êù•„Çâ„Åö Do more of what makes you happy  Snapchat : offray.risa |  Facebook : meimei risa",858,105,560,464,0.226293103448276,-3.27947508248255,"Having lunch at home Ì†ΩÌ±ç#lunch #food #foodporn #yummy #healthy #instafood #delicious #yum #foodie‚Ä¶ https://t.co/n9sSm8WUai",FALSE,0,NA,2016-06-12 07:01:47,FALSE,NA,"741888209135734784",NA,"instagram.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
"ThatScoop","The Official Thatscoop Twitter Page. Follow to get latest dose of hot and trending #Indian stories or to trip on our @UllowsGyaan #funnyquotes.",17932,30038,16678,47,639.106382978723,12.2206408169235,"Things that only a #foodie will relate to! https://t.co/km2LUNDDmC https://t.co/RE5ZrL87tQ",FALSE,0,NA,2016-06-12 07:01:40,FALSE,NA,"741888178697719808",NA,"ifttt.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:06:38 2016",0
