"screenName","description","location","statusesCount","followersCount","favoritesCount","friendsCount","pull_date"
"zuban32gg79","Follow for follow","",623,2116,0,4737,"Sun Jun 12 03:06:39 2016"
"ShowcaseToronto","Follow Showcase Toronto for Events, News and Interviews with talent from all over the GTA !


Showcasetoronto.ca","Toronto, Ontario",296,1790,56,3061,"Sun Jun 12 03:06:39 2016"
"IAmHafizYasir","ہربل علاج: ہیپاٹائٹس، ہائی بلڈ پریشر، بواسیر، مردانہ کمزوری، جریان، لیکوریا، ماہواری، بےاولادی، جلد، جگر، معده اور گردوں کے امراض 03130070006 @iHerbalMedicine","Pakistan",0,60903,0,4287,"Sun Jun 12 03:06:39 2016"
