"screenName","description","statusesCount","followersCount","favoritesCount","friendsCount","ff_ratio","norm_ff_ratio","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","retweetCount","isRetweet","retweeted","longitude","latitude","pull_date","following_client"
"jenniferpooley","L.A. lady. Seamstress for the book band. Big Five gone freelance editor. Agent for @KTDelahanty's Brightside series. #Surftherapy volunteer. Ocean obsessive.",17206,3587,8886,2192,1.63640510948905,1.6208646622823,"RT @BlueNationRev: Sick. @NYTimesDowd Attacks #Hillary and #ElizabethWarren With #Trump-Style Native American Slurs https://t.co/iISBudafNB",FALSE,0,NA,2016-06-12 09:45:23,FALSE,NA,"741929383129010176",NA,"iphone",19,TRUE,FALSE,NA,NA,"Sun Jun 12 05:45:58 2016",0
"PeterRosiDoes","",26371,61,0,0,Inf,Inf,"Elephant for President 2016 - Republican GOP - Bumper Sticker Vinyl Decal #republican  #trump #trump #rnc https://t.co/PDMwyNGe8E",FALSE,0,NA,2016-06-12 09:45:03,FALSE,NA,"741929297426796545",NA,"peterrosi.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 05:45:58 2016",0
"DonaldB34044603","",90,11,371,16,0.6875,-1.15677475722829,"RT @Always_Trump: REMINDER: #Trump has been in the spotlight 30 yrs &amp; only gets called racist now, when running against democrats https://t…",FALSE,0,NA,2016-06-12 09:44:57,FALSE,NA,"741929272420368385",NA,"android",1195,TRUE,FALSE,NA,NA,"Sun Jun 12 05:45:58 2016",0
"127Dooley","I L❤️VE DONALD TRUMP",3483,679,11032,959,0.708029197080292,-1.06253084086099,"RT @Always_Trump: Texas road sign hacked to say ""Hillary For Prison""! #Trump #Trump2016 https://t.co/aLnZsRQ6Qj",FALSE,0,NA,2016-06-12 09:44:52,FALSE,NA,"741929252476555264",NA,"iphone",457,TRUE,FALSE,NA,NA,"Sun Jun 12 05:45:58 2016",0
"canyourepeat","Euro-diplo-sporty freak",1747,90,1225,587,0.153321976149915,-5.96296815482929,"#Green groups fund-raise against #Trump ’s #climate stance ... #hopeforthebest... ""environment  https://t.co/XfPMBMcYpq via @Reuters",FALSE,0,NA,2016-06-12 09:44:52,FALSE,NA,"741929249699926016",NA,"twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 05:45:58 2016",0
"BlueUrchinFish","33.3 rpm* 
|
|
[*reports per month]",23750,785,5915,902,0.870288248337029,-0.401623480079499,"The rise of intolerant terrorism is directly fueled by GOP and their presidential nominee -- and hobby fascist -- Donald J. #Trump #Pulse",FALSE,0,NA,2016-06-12 09:44:48,FALSE,NA,"741929233619034112",NA,"android",0,FALSE,FALSE,NA,NA,"Sun Jun 12 05:45:58 2016",0
"MepadiL","When neighbors become #cyberstalkers it brings all new meaning to...
No it doesnt! Demons R Demons. #Oregon #SLPJ #MobileJusticeApp #MobFamily #NepCity #MtAORPD",65904,1667,3291,4416,0.377490942028986,-3.07703106802284,"RT @AnonymousJobsUS: #TRUMP
MAKE A DEAL WITH THE DICTIONARY
NOT THE DEVIL
CELEBRITIES ARE PART OF THE ESTABLISHMENT
#OPTRUMP
#ANONYMOUS htt…",FALSE,0,NA,2016-06-12 09:44:42,FALSE,NA,"741929211175133186",NA,"twitter.com",1,TRUE,FALSE,NA,NA,"Sun Jun 12 05:45:58 2016",0
"weston4P","God, Family, Country,
Army Vet",19097,1451,125,1856,0.781788793103448,-0.745114346178524,"RT @Trump_Videos: I love this Bernie Sanders video. #Trump welcomes ALL Bernie supporters on board and ALSO believes education is KEY! http…",FALSE,0,NA,2016-06-12 09:44:41,FALSE,NA,"741929205458341888",NA,"android",5,TRUE,FALSE,NA,NA,"Sun Jun 12 05:45:58 2016",0
"rosieamber1","Book reviewer, Avid Reader & Bookworm, helping connect readers to Authors via my blog http://t.co/Ji5BNizfYx",59288,7071,29036,6746,1.0481766973021,0.194082774724762,"RT @TomAngel1: The Politics of Tanning - which tribe are you? A newblog for #SundayBlogShare 
https://t.co/IDpS4e6ohm
#humour #Trump #Sunda…",FALSE,0,NA,2016-06-12 09:44:29,FALSE,NA,"741929156594794496",NA,"twitter.com",1,TRUE,FALSE,NA,NA,"Sun Jun 12 05:45:58 2016",0
"Hilda_Reilly","Novelist and travel writer. Academic interests: the neuroscience of religious experience and the use of fictional narrative to explore unusual mental states.",1901,503,34,662,0.759818731117825,-0.836415406932326,"Michael Moore tells it like it is on #Brexit, #Trump and #Blair https://t.co/ptZqaKLB32",FALSE,0,NA,2016-06-12 09:44:28,FALSE,NA,"741929151846862848",NA,"twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 05:45:58 2016",0
