"screenName","description","statusesCount","followersCount","favoritesCount","friendsCount","ff_ratio","norm_ff_ratio","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","retweetCount","isRetweet","retweeted","longitude","latitude","pull_date","following_client"
"birrdytalk","I am America,one voice,united we stand. Our Republic in Constitutional crisis will be saved with Donald J Trump as president! Vote!! Donald loves America! #Pray",151438,6111,23976,6601,0.92576882290562,-0.18323904799559,"RT @Always_Trump: If you look at history, this is the most OVERUSED play in the SJW &amp; Liberal playbook #Trump #Trump2016 https://t.co/YCTza‚Ä¶",FALSE,0,NA,2016-06-12 10:01:10,FALSE,NA,"741933353151172608",NA,"twitter.com",166,TRUE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"NicoGabe2","GOD, FAMILY AND MY COUNTRY.... MAKE AMERICA GREAT AGAIN",9478,501,5870,603,0.830845771144279,-0.482676731470164,"RT @RickRWells: Lynch DOJ's ACLU Trained, Foreign Grown Bathroom Gestapo 
https://t.co/4hnXGHC5rg #trump #trump2016 https://t.co/EClEoJu19x",FALSE,0,NA,2016-06-12 10:01:02,FALSE,NA,"741933321031127040",NA,"iphone",7,TRUE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"B0MBISLAMdotCOM","",159,177,7,348,0.508620689655172,-1.84102432162257,"@LouDobbs You can't stump the #Trump!! #MakeAmericaGreatAgain #HandCuffHillary #HillaryForPrison #Islamistheproblem https://t.co/sbzSVOhjeF",FALSE,0,"LouDobbs",2016-06-12 10:00:38,FALSE,"741357802371698688","741933218870370306","26487169","twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"KennethEade1","Bestselling top 100 political and legal thriller author and recovering lawyer.  Writes #Fiction or maybe #Faction? Click for mailing list & get a free book:",21264,11459,1257,10366,1.10544086436427,0.307725680988632,"Is it a slam dunk for #Clinton because #Trump is such an idiot? Voters are perplexed https://t.co/arGCevYkiB",FALSE,0,NA,2016-06-12 10:00:35,FALSE,NA,"741933205859803136",NA,"mobile.twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"glennyork","",26383,369,57840,169,2.18343195266272,2.19174003384482,"RT @LynnePatton: As a #SeniorAsst to the #Trump family, I can't imagine telling them it would take me 75 YEARS to gather emails Ì†ΩÌ∏≥ SMH https‚Ä¶",FALSE,0,NA,2016-06-12 10:00:29,FALSE,NA,"741933180106772480",NA,"twitter.com",110,TRUE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"CrabDiving","Funny progressive talk radio show, podcast/Internet radio network. NSFW! Comedy/politics/secularism. (@crabdivingnet). Please listen! https://t.co/jdGXjbc68J",12439,2432,1014,2090,1.16363636363636,0.449737131608649,"#Trump is an asshole, #bigly -- You must download last Monday's #podcast --&gt; https://t.co/HyYTaIAJyQ #funny #politics #ctl",FALSE,0,NA,2016-06-12 10:00:20,FALSE,NA,"741933141636567041",NA,"www.hootsuite.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"LindaDHummel","Guilty of false starts but always hoping for soft landings. Blogger at Huffington Post. Essayist, humorist, memoirist. Other ists not worth mentioning.",787,657,327,1134,0.579365079365079,-1.48055361704815,"#Trump #DonaldTrump #LOLGOP #RepublicansForHillary If the Republican Party were an elbow, Donald Trump would be gnawing it off.",FALSE,0,NA,2016-06-12 10:00:12,FALSE,NA,"741933110103773184",NA,"twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"Be_Rad_86","Tweets strictly my opinions. Retweets & articles shared not necessarily my opinions. #TeamGay #TeamFollowBack https://t.co/QbwharsbG5 ...Followers be 18+",60944,3875,2769,4000,0.96875,-0.0576239329441122,"#Hillary sinks to third place among independent voters: poll https://t.co/fOurormCUi via @nypost

#Clinton #Trump #GaryJohnson #USA",FALSE,0,NA,2016-06-12 10:00:11,FALSE,NA,"741933104068075520",NA,"android",0,FALSE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"pjlacasse22","Love music, art, photography, my children and Husband, Bernie Sanders all the way!",41157,796,6329,954,0.834381551362683,-0.470922333827975,"RT @BillMoyersHQ: Anti-politics &amp; disorientation: Welcome to the age of #Trump https://t.co/WIAZWVjUzB",FALSE,0,NA,2016-06-12 10:00:08,FALSE,NA,"741933091686584320",NA,"android",22,TRUE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"GoDannyAddison","",24172,72,0,0,Inf,Inf,"Donald Trump #TrumpHead Large White Custom Decal 1000-PACK #republican  #rnc #sgp #nra #trump https://t.co/qZZc4R8rET",FALSE,0,NA,2016-06-12 10:00:03,FALSE,NA,"741933073755951104",NA,"mycobblersbench.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"sluggoD54","Modern day Crusader against the Islamization of America! Tea-Party/NRAConservative Christian Supporter of Israel.Devoted to the Extinction of the American RINO!",116845,7686,50247,7921,0.970332028784244,-0.0531073885008099,"RT @SandraTXAS: UK: Syrian immigrants sexually assaulted 14yrOld girl https://t.co/uhDq8wXW7a #MAGA #Trump #Islam #pegida #tcot https://t.c‚Ä¶",FALSE,0,NA,2016-06-12 10:00:00,FALSE,NA,"741933059746992128",NA,"iphone",56,TRUE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
"orvkath1999","RetiredCA StateTrooper;Constitutionalist; 2nd AmRights Activist;VetsRightsActivist; Patriot;Mom,Cherokee;8yrs(UCDAVIS).Conservative,TRUMP",788,270,765,417,0.647482014388489,-1.17287344216414,"RT @Always_Trump: Texas road sign hacked to say ""Hillary For Prison""! #Trump #Trump2016 https://t.co/aLnZsRQ6Qj",FALSE,0,NA,2016-06-12 09:59:56,FALSE,NA,"741933043200315392",NA,"iphone",461,TRUE,FALSE,NA,NA,"Sun Jun 12 06:01:42 2016",0
