"screenName","description","statusesCount","followersCount","favoritesCount","friendsCount","ff_ratio","norm_ff_ratio","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","retweetCount","isRetweet","retweeted","longitude","latitude","pull_date","following_client"
"JonahFecesCODM","NYDM-CODM prospecting secretary. I enjoy hiking through mythical forests and the musical talent of Anal Cunt.",8,19,6,96,0.197916666666667,-1.03020157862724,"Just finished raping a hot pocket
#breakfeast",FALSE,1,NA,2016-06-11 14:38:41,FALSE,NA,"741640804779708416",NA,"iphone",0,FALSE,FALSE,NA,NA,"Sun Jun 12 06:57:21 2016",0
"LukeE3","Welcome to my twitter !",28687,2034,138679,3224,0.630893300248139,0.96979842137276,"Train breakfast time Ì†ΩÌ±ç#train #breakfeast #CapitalSTB https://t.co/w6obUuLvd1",FALSE,3,NA,2016-06-11 07:00:12,FALSE,NA,"741525423876624384",NA,"android",0,FALSE,FALSE,NA,NA,"Sun Jun 12 06:57:21 2016",0
"Zsuzsu03","",12,20,9,19,1.05263157894737,1.85294503490814,"Healthy #breakfeast Ì†ΩÌ∏ç https://t.co/6odfcL0UfH",FALSE,0,NA,2016-06-06 18:00:00,FALSE,NA,"739879527384535040",NA,"iphone",0,FALSE,FALSE,NA,NA,"Sun Jun 12 06:57:21 2016",0
"DreDay420Dabbs","23 | Denver, CO | Pretty Stoner
‚ô•Spooky Mummy ‚ô•
Naomi Marley Kelley
Ronald Kelley JR 3
Her Soul Is Black 
IG:LilyMunster420
Massroots:DreDay420",337,33,47,161,0.204968944099379,-0.96979842137276,"Yummy #breakfeast #JohnnyZ #centralcity #Colorado",FALSE,0,NA,2016-06-06 14:31:58,FALSE,NA,"739827174048292864",NA,"android",0,FALSE,FALSE,NA,NA,"Sun Jun 12 06:57:21 2016",0
