"screenName","description","location","statusesCount","followersCount","favoritesCount","friendsCount","pull_date"
"OldSchoolGray","CONSERVATIVE,
INFIDEL ( proud of that ya mooslims)
Patriot, and ex Marine Don't add me to no damn list. Pround TRUMP supported !","Forrest City, AR",19676,1039,6908,1051,"Sun Jun 12 06:01:45 2016"
"MDBlanchfield","Partner 1st In SEO - #Progressive #Firefighter - #SEO #ContentMarketing #WebDesign #SocialMediaManagement  - #Health #Fitness #Spirituality","Albuquerque, NM",36656,27297,63960,23431,"Sun Jun 12 06:01:45 2016"
"RillyTallCans","*Those coming after us will have to risk their lives to bring back what we've frittered away* Franklin Graham
#atheist #lover&fighter #democracy #payitforward","Australia",10892,1218,10925,1198,"Sun Jun 12 06:01:45 2016"
"pioucpiouc1","","France",9947,291,19628,265,"Sun Jun 12 06:01:45 2016"
"Gianluca_1970","Trump supporter, lets roll!!
U.S.A. Pro- #israel 
@realdonaldtrump #TrumpTrain
#MakeAmericaGreatAgain 
#Trump2016 #NoTrumpNoVote #potus","",26821,10903,18523,11995,"Sun Jun 12 06:01:45 2016"
"Purplehayes57","Electronics Communications","Los Angeles, CA",14820,1354,14431,1391,"Sun Jun 12 06:01:45 2016"
"mommags2579","70  news junkie","new jersey",108820,5221,55657,4931,"Sun Jun 12 06:01:45 2016"
"KazmiWajahat","News Producer @SamaaTV, former correspondent @Dawn_News, GM Operations @VopToday, reports for BBC, CNN & CTV & a first class cricketer. Tweets are personal.","Karachi, Pakistan",30003,233845,9788,7527,"Sun Jun 12 06:01:45 2016"
"Ric9871Ric","Does your online business require life-support? Are you having a tough time getting signups? Guarantee your Success by clicking here now https://t.co/BLWiz8DZgq","Richmond Va USA / Cebu Phils",64535,18933,5952,18562,"Sun Jun 12 06:01:45 2016"
"davidmoadel","I am not licensed or registered to provide financial or investment advice. My writing is only for entertainment purposes, and not intended as investment advice.","USA",18851,7149,568,7091,"Sun Jun 12 06:01:45 2016"
"joerivera82","Comedian seen@  World Famous Comedy Store,San Jose Improv, Tommy T's Pleasanton/Rancho Cordova/S.F., Flappers. MMA!","Lathrop, Ca",10803,1278,177,1181,"Sun Jun 12 06:01:45 2016"
"zuban32gg79","Follow for follow","",623,2120,0,4738,"Sun Jun 12 06:01:45 2016"
"ShowcaseToronto","Follow Showcase Toronto for Events, News and Interviews with talent from all over the GTA !


Showcasetoronto.ca","Toronto, Ontario",296,1792,56,3062,"Sun Jun 12 06:01:45 2016"
"IAmHafizYasir","ہربل علاج: ہیپاٹائٹس، ہائی بلڈ پریشر، بواسیر، مردانہ کمزوری، جریان، لیکوریا، ماہواری، بےاولادی، جلد، جگر، معده اور گردوں کے امراض 03130070006 @iHerbalMedicine","Pakistan",0,60934,0,4496,"Sun Jun 12 06:01:45 2016"
