"screenName","description","statusesCount","followersCount","favoritesCount","friendsCount","ff_ratio","norm_ff_ratio","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","retweetCount","isRetweet","retweeted","longitude","latitude","pull_date","following_client"
"AngelHack","AngelHack ignites the passion of the world's most vibrant community of code creators + change makers to invent the new and make change happen, together.",15157,12758,12681,4194,3.04196471149261,1.51366670942829,"RT @Alert_Wear: Its 3am and we're still here @MaRSDD @AngelHack! #Code4Impact for the visually impaired #AH9 #AngelHack í ½í¹‹ https://t.co/lbTDâ€¦",FALSE,0,NA,2016-06-12 07:12:00,FALSE,NA,"741890781867167744",NA,"iphone",1,TRUE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"Alert_Wear","Giving back independence to the visually impaired. Assistive device. #HealthTech #Access #Accessibility #Wearable #IoT #Code4Impact #AngelHack",19,10,8,220,0.0454545454545455,-3.62141060723793,"Its 3am and we're still here @MaRSDD @AngelHack! #Code4Impact for the visually impaired #AH9 #AngelHack í ½í¹‹ https://t.co/lbTDU6wMJA",FALSE,1,NA,2016-06-12 07:05:17,FALSE,NA,"741889092737064960",NA,"android",1,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"cavilont","Co-Founder @fshero_ @Kunfoodapp (@wayra @StartupChile winner) @SingularityU finalist Co-Organicer @LSM_Peru @StartupGrindPe Mentor @founding Ambss. @Angelhack",5821,1071,2892,556,1.92625899280576,0.955485806260168,"RT @techmkt89: Let's go #TitanCoders!!! #AH9 #PUCP #FSHero #AngelHack #Slack https://t.co/9XANLm91In",FALSE,0,NA,2016-06-12 07:00:56,FALSE,NA,"741887996945965057",NA,"iphone",3,TRUE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"nonsense713","https://t.co/iV5z9MqmCc #catholic #music #Comics #investing #emo https://t.co/d4QvoWunoM",54502,4845,30672,5333,0.908494280892556,0.037392094667174,"RT @narayananratish: Who said our sponsors can't stay up like our devs @lifeatexpedia @Expedia squad say bring it on #angelhack #ah9 https:â€¦",FALSE,0,NA,2016-06-12 06:58:24,FALSE,NA,"741887356454608896",NA,"ipad",2,TRUE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"CoSwitter","#Swipe to #retweet with Switter ! Browse by hashtag, identify trends, enhance your visibility and have fun !",103915,4682,0,2845,1.64569420035149,0.76318366548824,"RT @AutovirCo: really excited to be part of #angelhack #toronto . launching soon!",FALSE,0,NA,2016-06-12 06:58:22,FALSE,NA,"741887349127270400",NA,"theswitter.co",2,TRUE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"AutovirCo","we like to tweet about trending stuff :)",5,6,0,74,0.0810810810810811,-2.91442219034784,"really excited to be part of #angelhack #toronto . launching soon!",FALSE,1,NA,2016-06-12 06:53:54,FALSE,NA,"741886225586364418",NA,"twitter.com",2,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"AngelHackHYD","The world's largest #hackathon for the second season in Hyderabad on May 10-11, 2014 #hackstrong #AngelHackHyd @AngelHack",876,185,107,25,7.4,2.59964567367815,"RT @Alert_Wear: Love the midnight pizza í ¼í½•@AngelHack  #AngelHack #AH9 Still coding away! í ½í¸´í ½í²­í ½í²» https://t.co/qBQMLncUi6",FALSE,0,NA,2016-06-12 04:47:00,FALSE,NA,"741854291225251840",NA,"angelhack.com",3,TRUE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"NishantGadihoke","User Experience Developer",74,39,21,67,0.582089552238806,-0.506423295218957,"Hackathon! #angelhack https://t.co/SkIc30gVpM https://t.co/Ot0ggoCo0U",FALSE,0,NA,2016-06-12 00:45:22,FALSE,NA,"741793483258748928",NA,"ifttt.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"techmkt89","",20,17,9,56,0.303571428571429,-1.30169784653378,"Let's go #TitanCoders!!! #AH9 #PUCP #FSHero #AngelHack #Slack https://t.co/9XANLm91In",FALSE,2,NA,2016-06-11 22:46:36,FALSE,NA,"741763593474035712",NA,"iphone",3,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"kellykugler","New Yorker on the west coast...travel hungry road tripper... hire smart people and let them tell you what to do... tech recruiting manager @ NFL",3545,1057,245,1072,0.986007462686567,0.137411494443588,"Can't wait for another #Angelhack Hackathon! Talent everywhere! This weekend 6/11-6/12 @villworkspaces in SM! #AnyoneCanCode #CodeForACause",FALSE,3,NA,2016-06-11 21:36:26,FALSE,NA,"741745935546384384",NA,"iphone",1,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"narayananratish","AngelHack Asia, opinions,thoughts and views are my own & personal",1400,541,1613,614,0.881107491856677,0,"RT @thefounderscafe: The party has just begun! Anyone can code! AngelHack at TFC!  
#coders #angelhack #coworking #sponsors https://t.co/eHâ€¦",FALSE,0,NA,2016-06-11 18:39:42,FALSE,NA,"741701458316382208",NA,"iphone",2,TRUE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"nickmhc","Technologist & Dreamer. Passionate about #edtech",6872,525,3771,4,131.25,6.11252525263031,"@angelhack #angelHack #siliconBeach gonna build me a #Bootstrap landing page í ½í¸‚ #n00b #webdev @â€¦ https://t.co/DJoz3Dh2QJ",FALSE,1,"AngelHack",2016-06-11 17:50:00,FALSE,NA,"741688950163660800","378863252","instagram.com",1,FALSE,FALSE,"-118.45244526","34.03259923","Sun Jun 12 04:26:00 2016",0
"hackerananay","",212,193,16,594,0.324915824915825,-1.21869067234649,"So much fun at this hackathon
@AngelHack #AngelHack #AngelHackDelhi",FALSE,1,NA,2016-06-11 14:38:33,FALSE,NA,"741640770424184833",NA,"twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"sushilkher","Start up,education and skill development activist..food lover and now finally own a restaurant @ Goa",665,271,293,466,0.581545064377682,-0.507566523013702,"RT @thefounderscafe: The party has just begun! Anyone can code! AngelHack at TFC!  
#coders #angelhack #coworking #sponsors https://t.co/eHâ€¦",FALSE,0,NA,2016-06-11 14:34:48,FALSE,NA,"741639827762774016",NA,"android",2,TRUE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"thefounderscafe","Innovation Hub. Entrepreneur Network. Product Development. Beta Cafe. Coworking. COLLABORATION!",1007,228,83,551,0.413793103448276,-0.923306388231717,"The party has just begun! Anyone can code! AngelHack at TFC!  
#coders #angelhack #coworking #sponsors https://t.co/eHJi681CGd",FALSE,4,NA,2016-06-11 14:28:54,FALSE,NA,"741638343730028544",NA,"android",2,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"tennistweet","Engineer,Entrepreneur , Tennis obsessed",1393,167,36,364,0.458791208791209,-0.797201063772932,"Angelhack Toronto starting #angelhack #toronto https://t.co/MT9KMMyDZn",FALSE,0,NA,2016-06-11 13:32:00,FALSE,NA,"741624022325022720",NA,"iphone",0,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"Shrimp_Li","Public health, girls in tech, women who code. big data consultant, data scientist with python, spark and SAS.",884,366,240,573,0.638743455497382,-0.392962247059332,"Day 1 hackathon dinner, #angelhack #GirlsInTech #wwc https://t.co/QSSyFooz2P",FALSE,0,NA,2016-06-11 10:17:14,FALSE,NA,"741575009072644096",NA,"android",0,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"ZviadKardava","Google Developer Expert: Internet of Things",37,39,9,85,0.458823529411765,-0.797115007906022,"Just started #angelhack #hackaton in Saint Petersburg, Russia. #gde #iot #mentoring #eddystone #physicalweb #beacons https://t.co/sbbJcUBwqV",FALSE,0,NA,2016-06-11 10:16:47,FALSE,NA,"741574893423210496",NA,"android",1,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
"oasis_agano","Technologist@-)/Techpreneur /Full stack developer/sysadmin /martial artist /chess amateur/Gamer/fan de rap music",1540,333,1443,882,0.377551020408163,-1.03527927085811,"Where them hackers are? #angelhack https://t.co/87J1a2rkfv",FALSE,0,NA,2016-06-11 06:56:47,FALSE,NA,"741524565168377856",NA,"android",0,FALSE,FALSE,NA,NA,"Sun Jun 12 04:26:00 2016",0
