"screenName","description","statusesCount","followersCount","favoritesCount","friendsCount","ff_ratio","norm_ff_ratio","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","retweetCount","isRetweet","retweeted","longitude","latitude","pull_date","following_client"
"Asylum33","Creative Agency | Creating content, Curating culture",122,969,330,485,1.9979381443299,2.09715106563261,"RT @SimonCotton5: I just dreamed I had a fight with Donald Trump. He has a solid right hook but ultimately I defeated him. #Trump",FALSE,0,NA,2016-06-12 09:25:53,FALSE,NA,"741924473088184320",NA,"iphone",1,TRUE,FALSE,NA,NA,"Sun Jun 12 05:26:25 2016",0
"STFULuv","Can't stand my heat, get out my Kitchen! #SFGiants‚ô• #49ers‚ô• #GSWarriors‚ô• #DubNation‚ô• #Mexico‚ô• #Nicaragua‚ô• #HumanRights‚ô• #Hillary4POTUS‚ô• #Obama‚ô•     NoBots!!!",25751,1690,11373,1015,1.66502463054187,1.57567717385321,"RT @lesliermyers: 1 of endless times #GOP did &gt; worse, yet smears #HillaryClinton for less. #Trump can't lead. Best to leave HC alone! http‚Ä¶",FALSE,0,NA,2016-06-12 09:25:52,FALSE,NA,"741924470382858240",NA,"twitter.com",2,TRUE,FALSE,NA,NA,"Sun Jun 12 05:26:25 2016",0
"michaelnmarcus","I remember. I write. I rant. Sometimes I don't remember. https://t.co/toSpcmT6Cn, https://t.co/YMQA1mGtLc, https://t.co/WGoUmjewrq, https://t.co/jCUh2FiUqF",4094,161,336,193,0.83419689119171,-0.40156841011281,"@michaelnmarcus #trump hugs the flag and plans to fuck the country",FALSE,0,"michaelnmarcus",2016-06-12 09:25:45,FALSE,"741922190875078656","741924441802854400","23345724","twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 05:26:25 2016",0
"dananaby","#GOD #Grandkids #Family #Country #Independent #Conservative #Constitution #SupportTroops #Justice #ProIsrael #AntiBO #AntiSocialist #AntiLeft #AntiCommunist",104937,4584,89711,4812,0.952618453865337,-0.0217974653520298,"SHOCK: #Trump Releases Photo Of #Obama&amp;Hillary ;Goes Viral For PERFECT Reason 

@LouDobbs #hannity @ericbolling

https://t.co/k7kJdA8eMH",FALSE,0,NA,2016-06-12 09:25:37,FALSE,NA,"741924407505866752",NA,"android",0,FALSE,FALSE,NA,NA,"Sun Jun 12 05:26:25 2016",0
"washumom","#UniteBlue    #Equality    #MakeTheWorldABetterPlace    #HomefrontHugs Hero Volunteer",423723,6020,222406,5241,1.14863575653501,0.513523077620623,"RT @WesSmith123: Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç Suddenly Religious and #BornAgain Donald Trump is living proof - some people will believe anything! #Trump  https://t.‚Ä¶",FALSE,0,NA,2016-06-12 09:25:23,FALSE,NA,"741924347594571776",NA,"iphone",97,TRUE,FALSE,NA,NA,"Sun Jun 12 05:26:25 2016",0
"realKniteWulf","Fear has never been in my line of work #Anonymous 97-04, Expose bad people and defend those that cannot defend. #100basesWorldWide #RollTide #ATS",78620,3600,4463,3258,1.10497237569061,0.402649808728537,"RT @RickRWells: Clinton Vows To Kill 2nd Amendment And More Kids Too 
https://t.co/zRvWivNoU6 #trump #trump2016 https://t.co/eA01Np0I4l",FALSE,0,NA,2016-06-12 09:25:18,FALSE,NA,"741924328019791872",NA,"roundteam.co",5,TRUE,FALSE,NA,NA,"Sun Jun 12 05:26:25 2016",0
"rugerbill52","Conservative, A God fearing man. Supporter of the Second Amendment, Catholic, A Parent and an avid shooter and hunter. Do Not Tread on Me.",11636,2595,6070,5002,0.518792483006797,-1.76039990282789,"RT @Always_Trump: Texas road sign hacked to say ""Hillary For Prison""! #Trump #Trump2016 https://t.co/aLnZsRQ6Qj",FALSE,0,NA,2016-06-12 09:25:10,FALSE,NA,"741924293538287616",NA,"twitter.com",452,TRUE,FALSE,NA,NA,"Sun Jun 12 05:26:25 2016",0
"bertveeningen","202 centimeter aan liefde voor de aarde. Geeft zo nu en dan les, studeert hier en daar wat meer aardrijkskunde, denkt regelmatig aan het gezin. #avgeek",7938,367,695,571,0.642732049036778,-1.14752536675361,"RT @Leolucassen: Why am I not surprised: American neonazi's have a new star #Trump @SZ https://t.co/zcMw5Y5g51",FALSE,0,NA,2016-06-12 09:25:09,FALSE,NA,"741924289759334400",NA,"ipad",9,TRUE,FALSE,NA,NA,"Sun Jun 12 05:26:25 2016",0
"MagnusSteenCBI","Former GC @Sony Ericsson, turned entreprenuer, dedicated to be a part of Contract Legal Innovation and feeling I can run forever",5526,909,36,1980,0.459090909090909,-2.11016197340147,"Even kids get engaged in the US election. #notrump #Legoland #Trump https://t.co/ANHNE7iWpM",FALSE,0,NA,2016-06-12 09:25:06,FALSE,NA,"741924278510190592",NA,"android",0,FALSE,FALSE,NA,NA,"Sun Jun 12 05:26:25 2016",0
"johnnyreb1864","#CCOT #Born and Raised In America #ProIsrael #Photo: Bella
#Trump2016",422781,7503,7462,6725,1.11568773234201,0.430259493753348,"RT @RickRWells: Refugees No Pay Back Loans From Taxpayers, Obama's Orders 
https://t.co/Y8WIE5HDN8 #trump #trump2016 https://t.co/4n4THC0u1O",FALSE,0,NA,2016-06-12 09:25:06,FALSE,NA,"741924276178063360",NA,"ipad",11,TRUE,FALSE,NA,NA,"Sun Jun 12 05:26:25 2016",0
